ContentItem ID,Type,Slug,Title,Status,Channel,Next Date,Image?,Venue,Venue Address,Venue City,Venue Zipcode,Venue Website,Venue Phone,Author,Last Updated,Subheadline,Brief,Long Description
566100,Venue,mmxozk-acambaro-mexican-restaurant-venue-1,Acambaro Mexican Restaurant,Live,restaurants,"",yes,"",505 Plaza Drive,Monett,65708,"",417-354-8408,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","A favorite among locals, Acambaro offers authentic Mexican dishes that cater to northern palates and great Happy Hour specials. Of course, Acambaro serves complimentary chips and salsa with meal. Happy hour is on Tuesday, Wednesday and Thursday from 4 p.m.-7 p.m. Buy one beer, or margarita, get the...","A favorite among locals, Acambaro offers authentic Mexican dishes that cater to northern palates and great Happy Hour specials. Of course, Acambaro serves complimentary chips and salsa with meal. Happy hour is on Tuesday, Wednesday and Thursday from 4 p.m.-7 p.m. Buy one beer, or margarita, get the second one half price."
566099,Venue,mmxozk-acambaro-mexican-restaurant-venue,Acambaro Mexican Restaurant,Live,restaurants,"",yes,"",1779 S. Glenstone Ave.,Springfield,65804,"",417-886-1444,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","A favorite among locals, Acambaro offers authentic Mexican dishes that cater to northern palates and great Happy Hour specials. And of course, Acambaro serves complimentary chips and salsa with every meal. Happy hours are on Tuesday, Wednesday and Thursday from 4 p.m.-7 p.m.","A favorite among locals, Acambaro offers authentic Mexican dishes that cater to northern palates and great Happy Hour specials. And of course, Acambaro serves complimentary chips and salsa with every meal. Happy hours are on Tuesday, Wednesday and Thursday from 4 p.m.-7 p.m."
566101,Venue,mmxozk-acapulco-taco-grill-inc-venue,Acapulco Taco Grill ,Live,restaurants,"","","",3310 W 76 Country Blvd,Branson,65616,"",417-239-0074,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Acapulco Taco Grill is a Mexican taqueria that specializes in several varieties of carry-out tacos and burritos. Taco varieties include three different types of prepared pork tacos, grilled fish and shrimp tacos as well as those made with beef tongue. There is a small inside dining area that holds...","Acapulco Taco Grill is a Mexican taqueria that specializes in several varieties of carry-out tacos and burritos. Taco varieties include three different types of prepared pork tacos, grilled fish and shrimp tacos as well as those made with beef tongue. There is a small inside dining area that holds approximately 10 seats. Although this is carry out fast food, the tacos and burritos are based on Mexican family recipes."
566102,Venue,mmxozk-acledas-korner-kitchen-venue,Acleda's Korner Kitchen,Live,restaurants,"","","",109 E Highway B,Raymondville,65555,"",417-457-6352,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Acleda's offers a down-home feel and homeade country cooking, and was voted by Rural Missouri 2006 as Editor's Choice for Best Catfish. Order up some fresh sides with your catfish and an extra heaping helpin' of friendly service.","Acleda's offers a down-home feel and homeade country cooking, and was voted by Rural Missouri 2006 as Editor's Choice for Best Catfish. Order up some fresh sides with your catfish and an extra heaping helpin' of friendly service."
566103,Venue,mmxozk-the-acoustic-cafe-venue,The Acoustic Cafe,Expired,restaurants,"",yes,"",434 S. Jefferson Ave.,Springfield,65806,"",417-866-8570,"","Mar 28, 2011 by kleonard02@metromix.com","",Acoustic Cafe is now closed.,Acoustic Cafe is now closed.
621108,Venue,mmxozk-adam-puchta-winery-venue,Adam Puchta Winery,Live,shopping,"",yes,"",1747 Frene Creek Rd.,Hermann,65041,http://www.adampuchtawine.com,"","","Mar 28, 2011 by janpete@springfi.gannett.com","","The oldest family farm winery in Missouri also happens to be one of the most storied. Started by Bavarian immigrants over 150 years ago, the Puchta family has been through the Gold Rush, Prohibition and wine. Lots and lots of wine. They provide over a dozen varieties and tastings during hours of...","The oldest family farm winery in Missouri also happens to be one of the most storied. Started by Bavarian immigrants over 150 years ago, the Puchta family has been through the Gold Rush, Prohibition and wine. Lots and lots of wine. They provide over a dozen varieties and tastings during hours of operation. This is the place to go if you like German-style wines."
565796,Venue,mmxozk-air-and-military-museum-of-the-oz-venue,Air and Military Museum of the Ozarks,Live,museums,"",yes,"",2305 E. Kearney St.,Springfield,65803,http://www.ammomuseum.org/,417-864-7997,"","Mar 28, 2011 by bwhite@news-leader.com","",A museum dedicated to items related to the military.,"You will find a collection of military historical items here. There are over 5,000 pieces including items related to military aircraft. Guided tours for elementary groups available where kids can also learn about electricity, magnetism, light and lightening."
566098,Venue,mmxozk-ajs-drive-in-venue,AJ's Drive-In,Live,restaurants,"","","",Route 2 Box 2182,Hermitage,65668,"",417-745-2237,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","A walk-up eatery offering burgers, coneys, chicken, sandwiches and soft-serve ice cream; closed during winter. Family owned and operated, in business for 5 years. Closed from November 1st until March 1.","A walk-up eatery offering burgers, coneys, chicken, sandwiches and soft-serve ice cream; closed during winter. Family owned and operated, in business for 5 years. Closed from November 1st until March 1."
566104,Venue,mmxozk-alberdinis-pizzeria-venue,Alberdini's Pizzeria,Live,restaurants,"","","",Highway 5 & 7,Camdenton,65020,"",573-873-0111,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","A simple-style pizzeria offering an array of traditional Italian pasta dishes, pizzas and salads made from scratch. The pizzas are hand tossed from fresh, made from scratch dough and fresh homeade sauces. Homeade salad dressings such as Creamy Parmesean and Italian, are popular choices. Also...","A simple-style pizzeria offering an array of traditional Italian pasta dishes, pizzas and salads made from scratch. The pizzas are hand tossed from fresh, made from scratch dough and fresh homeade sauces. Homeade salad dressings such as Creamy Parmesean and Italian, are popular choices. Also available, a kids menu, full service bar and a Sunday dinner buffet featuring pizzas. Prices start at under $9 and can go up for larger pizzas."
566105,Venue,mmxozk-alexs-pizza-palace-venue,Alex's Pizza Palace,Live,restaurants,"","","",122 W. 8th St.,Rolla,65401,http://www.alexspizza.com/,573-364-2669,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","A Greek-flair pizzaria with private dining for up to 65, Alex's prides itself on excellent customer service. Family-owned, Alex's Pizza Palace has been a favorite gathering place among the locals and college crowd since 1964, offering fresh gourmet dishes. If you're in need of a party room, Alex's...","A Greek-flair pizzaria with private dining for up to 65, Alex's prides itself on excellent customer service. Family-owned, Alex's Pizza Palace has been a favorite gathering place among the locals and college crowd since 1964, offering fresh gourmet dishes. If you're in need of a party room, Alex's Pizza Palace offers private dining for up to 65. Come hungry and ready to have a good time in a relaxing atmosphere.&nbsp;"
566107,Venue,mmxozk-alis-family-restaurant-venue,Ali's Family Restaurant,Live,restaurants,"","","",4525 W. Chestnut Expressway,Springfield,65802,"",417-864-7378,"","Mar 28, 2011 by janpete@springfi.gannett.com","","Ali's Family Resturant restaurant offers a wide variety of menu items such as Italian, Mexican, Greek, Chinese and American fare. On Thursdays and Saturdays, Ali's offers a 2-for-1 top sirlion dinner special for $9.99 and a $2.99 daily breakfast special with coffee. Ali's is a local, down-home,...","Ali's Family Resturant restaurant offers a wide variety of menu items such as Italian, Mexican, Greek, Chinese and American fare. On Thursdays and Saturdays, Ali's offers a 2-for-1 top sirlion dinner special for $9.99 and a $2.99 daily breakfast special with coffee. Ali's is a local, down-home, friendly restaurant."
566106,Venue,mmxozk-alice-irenes-restaurant-and-baker-venue,Alice Irene's Restaurant & Bakery,Live,restaurants,"","","",310 U.S. 60 ,Marionville,65705,"",417-258-2288,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Alice Irene's is a local favorite, offering unique dishes like as fried meatloaf and plenty of fresh-baked goods in their in-house bakery. No- bake cookies and coconut creme pies are always on hand, but the bakery also offers an order-ahead menu for specialty pies and cakes. There is a lunch buffet...","Alice Irene's is a local favorite, offering unique dishes like as fried meatloaf and plenty of fresh-baked goods in their in-house bakery. No- bake cookies and coconut creme pies are always on hand, but the bakery also offers an order-ahead menu for specialty pies and cakes. There is a lunch buffet Monday-Friday and a breakfast buffet on Saturday morning from 8A.M.-12 noon. On Friday and Saturday, locals and out-of-towners drop in for catfish and frog leg dinners."
566108,Venue,mmxozk-all-american-cafe-venue,All American Cafe,Live,restaurants,"","","",239 Shepherd of the Hills Expressway,Branson,65616,http://www.allamericancafe.com/,417-239-1744,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","All American Caf is a casual place offering a wide variety of American cuisine and patio seating. All American has nice outdoor seating, full bar service and local, live music on the weekends.","All American Caf&eacute; is a casual place offering a wide variety of American cuisine and patio seating. All American has nice outdoor seating, full bar service and local, live music on the weekends."
566109,Venue,mmxozk-alley-cats-venue,Alley Cats,Live,restaurants,"","","",707 N. Pine St.,Rolla,65401,"",573-426-3110,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Enjoy a board game in a relaxing atmosphere while you wait on signature dishes, and sit inside or out. If you're going lighter, try a low-fat fruit smoothie. On Saturdays, a local band may pop in for a little entertainment.","Enjoy a board game in a relaxing atmosphere while you wait on signature dishes, and sit inside or out. If you're going lighter, try a low-fat fruit smoothie. On Saturdays, a local band may pop in for a little entertainment."
566566,Venue,mmxozk-alley-katz-venue,Alley Katz,Live,bars-and-clubs,"",yes,"",2109 N. Glenstone Ave.,Springfield,65803,"",417-866-7569,"","Mar 28, 2011 by janpete@springfi.gannett.com","","Smaller than your typical exotic dancers venue and more personable, this place is ""fun fun fun."" Enjoy the view and Alley the bartender will fix you up with a cold one.","Smaller than your typical exotic dancers venue and more personable, this place is ""fun fun fun."" Enjoy the view and Alley the bartender will fix you up with a cold one."
566110,Venue,mmxozk-altons-burger-palace-venue,Alton's Burger Palace,Live,restaurants,"","","",304 S. Market St.,Alton,65606,"",417-778-7276,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Alton's Burger Palace is a local joint offering an American menu with dine-in and drive-thru service. Menu items include burgers and fries, pork tenderloin sandwich, shrimp baskets, tacos and salads. On Wednesday, Friday and Sunday, Alton's fries up chicken dinner baskets.","Alton's Burger Palace is a local joint offering an American menu with dine-in and drive-thru service. Menu items include burgers and fries, pork tenderloin sandwich, shrimp baskets, tacos and salads. On Wednesday, Friday and Sunday, Alton's fries up chicken dinner baskets."
566111,Venue,mmxozk-amigos-mexican-restaurant-venue,Amigos Mexican Restaurant,Live,restaurants,"",yes,"",2118 S. Campbell Ave.,Springfield,65807,"",417-887-1401,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Amigo's Restuarant offers authentic Mexican cuisine at extrememly reasonable prices, with great specials on Wednesdays. Complimentary chips and salsa served with every meal. On Wednesdays after 3 p.m., buy one combo dinner and two drinks, get second combo dinner for free. Amigo's serves draft beer...","Amigo's Restuarant offers authentic Mexican cuisine at extrememly reasonable prices, with great specials on Wednesdays. Complimentary chips and salsa served with every meal. On Wednesdays after 3 p.m., buy one combo dinner and two drinks, get second combo dinner for free. Amigo's serves draft beer and margaritas."
566137,Venue,mmxozk-the-bakehouse-venue,Amycakes,Live,restaurants,"",yes,"",308 W. McDaniel St.,Springfield,65806,"",417-831-6095,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","A made-from-scratch bakehouse in downtown Springfield, offering breads and sweets of all kinds.","A made-from-scratch bakehouse in downtown Springfield, offering breads and sweets of all kinds."
1395578,Venue,mmxozk-andoros-pizza-venue,Andoro's Pizzeria,Live,restaurants,"",yes,"",501 W. Chestnut Expressway,Springfield,65802,"","","","Mar 29, 2011 by bjacques@springfi.gannett.com","","Andoro's serves pizza pies, entrees and sandwiches made fresh, and shares its location (and lunch menu) with Scrambler's Diner.One of the most unique elements of the place is its locationor better yet, who shares the location with them. It's one half of a revolutionary new idea in dual-concept...","Andoro's serves pizza pies, entrees and sandwiches made fresh, and shares its location (and lunch menu) with Scrambler's Diner.One of the most unique elements of the place is its location&mdash;or better yet, who shares the location with them. It's one half of a revolutionary new idea in dual-concept dining. In the morning and through lunch, it's Scramblers Diner. From lunch through dinner, its Andoro's Pizzeria. So actually, during lunch you can get a sandwich and your eating pal can get an omelet. Choices abound, as does fresh affordable food."
566112,Venue,mmxozk-andres-at-the-lake-venue,Andre's at The Lake,Live,restaurants,"","","",1622 Horseshoe Bend Pkwy,Lake Ozark,65049,http://www.andresatthelake.com/,573-365-2800,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Andre's at the Lake offers intimate French-style dining and cuisine with a beautiful view of Lake of the Ozarks. Andre's features French seafood, chicken and pork dishes. Sunday buffet brunch is at 9:30 a.m. and a sushi menu is offered the first Friday and Saturday of every month.","Andre's at the Lake offers intimate French-style dining and cuisine with a beautiful view of Lake of the Ozarks. Andre's features French seafood, chicken and pork dishes. Sunday buffet brunch is at 9:30 a.m. and a sushi menu is offered the first Friday and Saturday of every month."
566116,Venue,mmxozk-andys-frozen-custard-venue-3,Andy's Frozen Custard,Live,restaurants,"",yes,"",3415 W. 76 Country Blvd.,Branson,65616,http://www.eatandys.com/,417-337-5501,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Andy's Frozen Custard is home to one-of-a-kind frozen custard and original and seasonal frozen treats. Andy's Frozen Custard has been an Ozarks favorite for 22 years. Locals flock for their frozen fixes such as Ozark Turtle, James Brownie Funky Jackhammer and the Woody P. Snowmonster. Seasonal...","Andy's Frozen Custard is home to one-of-a-kind frozen custard and original and seasonal frozen treats. Andy's Frozen Custard has been an Ozarks favorite for 22 years. Locals flock for their frozen fixes such as Ozark Turtle, James Brownie Funky Jackhammer and the Woody P. Snowmonster. Seasonal treats such as fresh blueberries and peaches mixed in creamy frozen custard, Girl Scout Thin Mint concrete and Grandma's homeade apple pie sundae are also offered. There is a walk-up window and convienent drive-thru. Don't forget the pooch; Andy offers a free sample cone of frozen custard to his four-legged patrons."
566115,Venue,mmxozk-andys-frozen-custard-venue-2,Andy's Frozen Custard,Live,restaurants,"",yes,"",3147 E. Sunshine St.,Springfield,65804,http://www.eatandys.com/,417-881-2820,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Andy's Frozen Custard is home to one-of-a-kind frozen custard and original and seasonal frozen treats. Andy's has been an Ozarks favorite for 22 years. Locals flock for their frozen fixes such as Ozark Turtle, James Brownie Funky Jackhammer and Woody P. Snowmonster. Seasonal treats such as fresh...","Andy's Frozen Custard is home to one-of-a-kind frozen custard and original and seasonal frozen treats.&nbsp; Andy's has been an Ozarks favorite for 22 years. Locals flock for their frozen fixes such as Ozark Turtle, James Brownie Funky Jackhammer and Woody P. Snowmonster. Seasonal treats such as fresh blueberries and peaches mixed in creamy frozen custard, Girl Scout Thin Mint concrete and Grandma's homeade apple pie sundae are also offered. There is a walk-up window and convienent drive-thru. Don't forget the pooch; Andy offers a free sample cone of frozen custard to his four-legged patrons."
566114,Venue,mmxozk-andys-frozen-custard-venue-1,Andy's Frozen Custard,Live,restaurants,"",yes,"",2726 S. Campbell Ave.,Springfield,65807,http://www.eatandys.com/,417-881-3424,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Andy's Frozen Custard is home to one-of-a-kind frozen custard and original and seasonal frozen treats. Andy's has been an Ozarks favorite for 22 years. Locals flock for their frozen fixes such as Ozark Turtle, James Brownie Funky Jackhammer, Woody P. Snowmonster. Seasonal treats such as fresh...","Andy's Frozen Custard is home to one-of-a-kind frozen custard and original and seasonal frozen treats.&nbsp; Andy's has been an Ozarks favorite for 22 years. Locals flock for their frozen fixes such as Ozark Turtle, James Brownie Funky Jackhammer, Woody P. Snowmonster. Seasonal treats such as fresh blueberries and peaches mixed in creamy frozen custard, Girl Scout Thin Mint concrete and Grandma's homeade apple pie sundae also are offered. There is a walk-up window and convienent drive-thru. Don't forget the pooch; Andy offers a free sample cone of frozen custard to his four-legged patrons."
566113,Venue,mmxozk-andys-frozen-custard-venue,Andy's Frozen Custard,Live,restaurants,"",yes,"",2119 N. Glenstone Ave.,Springfield,65803,http://www.eatandys.com/,417-863-7125,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Andy's Frozen Custard is home to one-of-a-kind frozen custard and original and seasonal frozen treats. Andy's Frozen Custard has been an Ozarks favorite for 22 years. Locals flock for their frozen fixes such as Ozark Turtle, James Brownie Funky Jackhammer and the Woody P. Snowmonster. Seasonal...","Andy's Frozen Custard is home to one-of-a-kind frozen custard and original and seasonal frozen treats. Andy's Frozen Custard has been an Ozarks favorite for 22 years. Locals flock for their frozen fixes such as Ozark Turtle, James Brownie Funky Jackhammer and the Woody P. Snowmonster. Seasonal treats such as fresh blueberries and peaches mixed in creamy frozen custard, Girl Scout Thin Mint concrete and Grandma's homeade apple pie sundae are also offered. There is a walk-up window and convienent drive-thru. Don't forget the pooch; Andy offers a free sample cone of frozen custard to his four-legged patrons."
566063,Venue,mmxozk-angels-in-the-park-venue,Angels in the Park,Live,restaurants,"","","",211 Fountain St.,Hot Springs,71901,http://www.parkhotelhotsprings.com/,501-609-0767,"","Jun 17, 2011 by bwhite@news-leader.com","","Traditional Italian food with flair is served at this restaurant inside the Park Hotel in Hot Springs. Casual fine dining options include spaghetti, lasagne and fettucinis. Pizzas, salads and desserts, too, at this venue with seating inside or outside. Full-service bar.","Traditional Italian food with flair is served at this restaurant inside the Park Hotel in Hot Springs. Casual fine dining options include spaghetti, lasagne and fettucinis. Pizzas, salads and desserts, too, at this venue with seating inside or outside. Full-service bar."
566117,Venue,mmxozk-annies-restaurant-venue,Annie's Restaurant,Live,restaurants,"","","",109 E. U.S. 54,El Dorado Springs,64744,"",417-876-5511,"","Mar 28, 2011 by rjasper@news-leader.com","","Annie's boasts a small-town, friendly atmosphere with daily lunch and dinner specials. The menu features American dishes such as steaks, burgers and a local favorite, the hand-breaded pork tenderloin sandwich. Annie's also serves a few favorite Mexican dishes such as tacos and burritos.","Annie's boasts a small-town, friendly atmosphere with daily lunch and dinner specials. The menu features American dishes such as steaks, burgers and a local favorite, the hand-breaded pork tenderloin sandwich. Annie's also serves a few favorite Mexican dishes such as tacos and burritos."
566118,Venue,mmxozk-antler-package-and-pizza-venue,Antler Package & Pizza,Live,restaurants,"","","",Missouri 5 and Ozark County U Hwy,Gainesville,65655,"",417-679-4598,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Antler Package and Pizza is a local place with fresh-made pizzas, outdoor seating and beer garden. The pizza sauce and dough are made fresh daily, and all of the toppings are hand-cut and fresh. People come from all over the Ozarks to enjoy one of the Antler's freshly made pizzas.","Antler Package and Pizza is a local place with fresh-made pizzas, outdoor seating and beer garden. The pizza sauce and dough are made fresh daily, and all of the toppings are hand-cut and fresh. People come from all over the Ozarks to enjoy one of the Antler's freshly made pizzas."
566120,Venue,mmxozk-antons-coffee-shop-venue,Anton's Coffee Shop,Live,restaurants,"",yes,"",937 S. Glenstone Ave.,Springfield,65802,"",417-869-7681,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Anton's had been a neighborhood delight for more than a quarter century; serving breakfast, lunch and endless coffee. A home to all kinds, call ahead or carry out if you'd like.","Anton's had been a neighborhood delight for more than a quarter century; serving breakfast, lunch and endless coffee. A home to all kinds, call ahead or carry out if you'd like."
566121,Venue,mmxozk-archies-lounge-venue,Archie's Lounge,Live,bars-and-clubs,"","","",1817 E. Grand St.,Springfield,65804,"",417-864-4109,"","Mar 28, 2011 by janpete@springfi.gannett.com","","When the funds are low, you can check out this neighborhood bar with drink prices easy on your wallet and a game of pool available. rock_classic live music Thursday, Friday and Saturday nights and never a cover charge.","When the funds are low, you can check out this neighborhood bar with drink prices easy on your wallet and a game of pool available. rock_classic live music Thursday, Friday and Saturday nights and never a cover charge."
566953,Venue,mmxozk-argentina-steakhouse-venue,Argentina Steakhouse,Live,restaurants,"",yes,"",1410 E. Republic Road,Springfield,65804,http://theargentinasteakhouse.com/,417-886-8010,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Local ingredients, certified USDA Prime-Grade beef and an open-fire grill make Argentina one of the prime steakhouses in the Ozarks. You can be sure you're getting the highest possible quality, and the open-fire grill lets you watch as they prepare it the way you like it. They use local ingredients...","Local ingredients, certified USDA Prime-Grade beef and an open-fire grill make Argentina one of the prime steakhouses in the Ozarks. You can be sure you're getting the highest possible quality, and the open-fire grill lets you watch as they prepare it the way you like it. They use local ingredients and pride themselves on their top-notch menu and service; a great date place!&nbsp;"
566021,Venue,mmxozk-the-arlington-resort-hotel-and-sp-venue,The Arlington Resort Hotel & Spa,Live,leisure,"","","",239 Central Ave.,Hot Springs,71901,http://www.arlingtonhotel.com/,501-623-7771,"","Mar 28, 2011 by bwhite@news-leader.com","","The most prominent building in the heart of historic downtown Hot Springs National Park, the Arlington has all of the ambiance and hospitality of a traditional, grand old Southern hotel, with full spa service and the Thermal Bath House and three restaurants. Built in 1893, the Spanish Renaissance...","The most prominent building in the heart of historic downtown Hot Springs National Park, the Arlington has all of the ambiance and hospitality of a traditional, grand old Southern hotel, with full spa service and the Thermal Bath House and three restaurants. Built in 1893, the Spanish Renaissance castle is located in the heart of historic downtown Hot Springs, in walking distance to art galleries, unique restaurants, antique shops and entertainment. Rooms have standard upscale amenities, access to a business center, fitness center and gift shop. Valet parking for an additional charge or use of a three-story parking garage."
566123,Venue,mmxozk-arris-pizza-venue-1,Arris' Pizza,Live,restaurants,"",yes,"",3924 JR Prewitt Pkwy,Osage Beach,65065,http://arrispizzaonline.com/,573-348-2288,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","Voted number one in the Ozarks many times, Arris' makes a great lunch or date spot, serving Greek-style pizza and fare. Whether you're taking in a lunch bite, on a date or looking for a happy hour venue to wind down after a long work day, Arris' has something to satisfy. Pizza lovers will find a...","Voted number one in the Ozarks many times, Arris' makes a great lunch or date spot, serving Greek-style pizza and fare. Whether you're taking in a lunch bite, on a date or looking for a happy hour venue to wind down after a long work day, Arris' has something to satisfy. Pizza lovers will find a bevy of topping choices, from traditional pepperoni, Canadian bacon and mushroom to exotic tuna, artichoke hearts, gyro meat and spinach. Look for authentic Greek fare (gyros, chicken saras, and spanikopita; Italian specialties including manicotti, spaghetti, cannelloni florentine; and American favorites. Lunch buffet is from 11 a.m. to 2 p.m. on weekdays. Happy hour runs from 4 to 6 p.m. every day. Enjoy 2-for-1 drink specials, pitcher specials and great food at soft prices in this casual atmosphere."
